,date,new_deaths
106023,2021-10-01,490.0
106024,2021-10-02,454.0
106025,2021-10-03,226.0
106026,2021-10-04,204.0
106027,2021-10-05,684.0
106028,2021-10-06,570.0
106029,2021-10-07,427.0
106030,2021-10-08,630.0
106031,2021-10-09,416.0
106032,2021-10-10,151.0
106033,2021-10-11,207.0
106034,2021-10-12,175.0
106035,2021-10-13,205.0
106036,2021-10-14,571.0
106037,2021-10-15,507.0
106038,2021-10-16,465.0
106039,2021-10-17,128.0
106040,2021-10-18,202.0
106041,2021-10-19,379.0
106042,2021-10-20,398.0
106043,2021-10-21,466.0
106044,2021-10-22,447.0
106045,2021-10-23,350.0
106046,2021-10-24,119.0
106047,2021-10-25,207.0
106048,2021-10-26,403.0
106049,2021-10-27,435.0
106050,2021-10-28,373.0
106051,2021-10-29,408.0
106052,2021-10-30,216.0
106053,2021-10-31,133.0
106054,2021-11-01,103.0
106055,2021-11-02,152.0
106056,2021-11-03,190.0
106057,2021-11-04,434.0
106058,2021-11-05,382.0
106059,2021-11-06,303.0
106060,2021-11-07,70.0
106061,2021-11-08,120.0
106062,2021-11-09,208.0
106063,2021-11-10,268.0
106064,2021-11-11,240.0
106065,2021-11-12,621.0
106066,2021-11-13,307.0
106067,2021-11-14,65.0
106068,2021-11-15,70.0
106069,2021-11-16,142.0
106070,2021-11-17,377.0
106071,2021-11-18,272.0
106072,2021-11-19,236.0
106073,2021-11-20,208.0
106074,2021-11-21,96.0
106075,2021-11-22,126.0
106076,2021-11-23,294.0
106077,2021-11-24,270.0
106078,2021-11-25,288.0
106079,2021-11-26,305.0
106080,2021-11-27,227.0
106081,2021-11-28,80.0
106082,2021-11-29,118.0
106083,2021-11-30,326.0
106084,2021-12-01,268.0
106085,2021-12-02,196.0
106086,2021-12-03,234.0
106087,2021-12-04,146.0
106088,2021-12-05,71.0
106089,2021-12-06,132.0
106090,2021-12-07,261.0
106091,2021-12-08,239.0
106092,2021-12-09,199.0
106093,2021-12-10,228.0
106094,2021-12-11,53.0
106095,2021-12-12,82.0
106096,2021-12-13,45.0
106097,2021-12-14,113.0
106098,2021-12-15,298.0
106099,2021-12-16,123.0
106100,2021-12-17,198.0
106101,2021-12-18,138.0
106102,2021-12-19,55.0
106103,2021-12-20,83.0
106104,2021-12-21,71.0
106105,2021-12-22,149.0
106106,2021-12-23,128.0
106107,2021-12-24,164.0
106108,2021-12-25,47.0
106109,2021-12-26,25.0
106110,2021-12-27,80.0
106111,2021-12-28,170.0
106112,2021-12-29,116.0
106113,2021-12-30,148.0
106114,2021-12-31,86.0
106115,2022-01-01,32.0
106116,2022-01-02,41.0
106117,2022-01-03,72.0
106118,2022-01-04,182.0
106119,2022-01-05,127.0
106120,2022-01-06,174.0
106121,2022-01-07,146.0
106122,2022-01-08,96.0
106123,2022-01-09,49.0
106124,2022-01-10,119.0
106125,2022-01-11,135.0
106126,2022-01-12,139.0
106127,2022-01-13,196.0
106128,2022-01-14,231.0
106129,2022-01-15,164.0
106130,2022-01-16,99.0
106131,2022-01-17,166.0
106132,2022-01-18,312.0
106133,2022-01-19,322.0
106134,2022-01-20,352.0
106135,2022-01-21,398.0
106136,2022-01-22,310.0
106137,2022-01-23,191.0
106138,2022-01-24,270.0
106139,2022-01-25,485.0
106140,2022-01-26,603.0
106141,2022-01-27,683.0
106142,2022-01-28,763.0
106143,2022-01-29,694.0
106144,2022-01-30,274.0
106145,2022-01-31,482.0
106146,2022-02-01,750.0
106147,2022-02-02,940.0
106148,2022-02-03,997.0
106149,2022-02-04,968.0
106150,2022-02-05,804.0
106151,2022-02-06,447.0
106152,2022-02-07,415.0
106153,2022-02-08,1197.0
106154,2022-02-09,1287.0
106155,2022-02-10,925.0
106156,2022-02-11,1116.0
106157,2022-02-12,866.0
106158,2022-02-13,342.0
106159,2022-02-14,493.0
106160,2022-02-15,915.0
106161,2022-02-16,1033.0
106162,2022-02-17,1108.0
106163,2022-02-18,1118.0
106164,2022-02-19,836.0
106165,2022-02-20,399.0
106166,2022-02-21,343.0
106167,2022-02-22,804.0
106168,2022-02-23,985.0
106169,2022-02-24,983.0
106170,2022-02-25,798.0
106171,2022-02-26,708.0
106172,2022-02-27,215.0
106173,2022-02-28,238.0
106174,2022-03-01,278.0
106175,2022-03-02,346.0
106176,2022-03-03,587.0
106177,2022-03-04,694.0
106178,2022-03-05,633.0
106179,2022-03-06,214.0
106180,2022-03-07,220.0
106181,2022-03-08,492.0
106182,2022-03-09,678.0
106183,2022-03-10,565.0
106184,2022-03-11,456.0
106185,2022-03-12,384.0
106186,2022-03-13,138.0
106187,2022-03-14,185.0
106188,2022-03-15,328.0
106189,2022-03-16,356.0
106190,2022-03-17,477.0
106191,2022-03-18,382.0
106192,2022-03-19,285.0
106193,2022-03-20,106.0
106194,2022-03-21,102.0
106195,2022-03-22,411.0
106196,2022-03-23,283.0
106197,2022-03-24,308.0
106198,2022-03-25,257.0
106199,2022-03-26,192.0
106200,2022-03-27,107.0
106201,2022-03-28,76.0
106202,2022-03-29,285.0
106203,2022-03-30,263.0
106204,2022-03-31,253.0
106205,2022-04-01,245.0
106206,2022-04-02,106.0
106207,2022-04-03,39.0
106208,2022-04-04,165.0
106209,2022-04-05,216.0
106210,2022-04-06,195.0
106211,2022-04-07,250.0
106212,2022-04-08,149.0
106213,2022-04-09,98.0
106214,2022-04-10,38.0
106215,2022-04-11,69.0
106216,2022-04-12,166.0
106217,2022-04-13,163.0
106218,2022-04-14,140.0
106219,2022-04-15,111.0
106220,2022-04-16,31.0
106221,2022-04-17,22.0
106222,2022-04-18,66.0
106223,2022-04-19,125.0
106224,2022-04-20,263.0
106225,2022-04-21,92.0
106226,2022-04-22,51.0
106227,2022-04-23,53.0
106228,2022-04-24,36.0
106229,2022-04-25,76.0
106230,2022-04-26,144.0
106231,2022-04-27,245.0
106232,2022-04-28,114.0
106233,2022-04-29,185.0
106234,2022-04-30,87.0
106235,2022-05-01,16.0
106236,2022-05-02,89.0
106237,2022-05-03,92.0
106238,2022-05-04,65.0
106239,2022-05-05,137.0
106240,2022-05-06,195.0
106241,2022-05-07,35.0
106242,2022-05-08,13.0
106243,2022-05-09,53.0
106244,2022-05-10,198.0
106245,2022-05-11,126.0
106246,2022-05-12,125.0
106247,2022-05-13,139.0
106248,2022-05-14,92.0
106249,2022-05-15,46.0
106250,2022-05-16,69.0
106251,2022-05-17,229.0
106252,2022-05-18,103.0
106253,2022-05-19,114.0
106254,2022-05-20,60.0
106255,2022-05-21,35.0
106256,2022-05-22,99.0
106257,2022-05-23,39.0
106258,2022-05-24,239.0
106259,2022-05-25,132.0
106260,2022-05-26,143.0
106261,2022-05-27,139.0
106262,2022-05-28,72.0
106263,2022-05-29,62.0
106264,2022-05-30,63.0
106265,2022-05-31,160.0
106266,2022-06-01,125.0
106267,2022-06-02,127.0
106268,2022-06-03,43.0
106269,2022-06-04,26.0
106270,2022-06-05,8.0
106271,2022-06-06,36.0
106272,2022-06-07,307.0
106273,2022-06-08,299.0
106274,2022-06-09,143.0
106275,2022-06-10,170.0
106276,2022-06-11,114.0
106277,2022-06-12,36.0
106278,2022-06-13,70.0
106279,2022-06-14,174.0
106280,2022-06-15,339.0
106281,2022-06-16,151.0
106282,2022-06-17,72.0
106283,2022-06-18,94.0
106284,2022-06-19,55.0
106285,2022-06-20,96.0
106286,2022-06-21,229.0
106287,2022-06-22,140.0
106288,2022-06-23,365.0
106289,2022-06-24,334.0
106290,2022-06-25,140.0
106291,2022-06-26,36.0
106292,2022-06-27,127.0
106293,2022-06-28,316.0
106294,2022-06-29,277.0
106295,2022-06-30,291.0
106296,2022-07-01,284.0
106297,2022-07-02,158.0
106298,2022-07-03,53.0
106299,2022-07-04,122.0
106300,2022-07-05,396.0
106301,2022-07-06,361.0
106302,2022-07-07,283.0
106303,2022-07-08,266.0
106304,2022-07-09,215.0
106305,2022-07-10,56.0
106306,2022-07-11,148.0
106307,2022-07-12,344.0
106308,2022-07-13,380.0
106309,2022-07-14,297.0
106310,2022-07-15,311.0
106311,2022-07-16,205.0
106312,2022-07-17,55.0
106313,2022-07-18,168.0
106314,2022-07-19,353.0
106315,2022-07-20,346.0
106316,2022-07-21,269.0
106317,2022-07-22,280.0
106318,2022-07-23,161.0
106319,2022-07-24,37.0
106320,2022-07-25,179.0
106321,2022-07-26,351.0
106322,2022-07-27,310.0
106323,2022-07-28,265.0
106324,2022-07-29,244.0
106325,2022-07-30,173.0
106326,2022-07-31,28.0
106327,2022-08-01,201.0
106328,2022-08-02,295.0
106329,2022-08-03,265.0
106330,2022-08-04,261.0
106331,2022-08-05,222.0
106332,2022-08-06,181.0
106333,2022-08-07,57.0
106334,2022-08-08,170.0
106335,2022-08-09,365.0
106336,2022-08-10,255.0
106337,2022-08-11,220.0
106338,2022-08-12,247.0
106339,2022-08-13,147.0
106340,2022-08-14,37.0
106341,2022-08-15,120.0
106342,2022-08-16,206.0
106343,2022-08-17,247.0
106344,2022-08-18,206.0
106345,2022-08-19,142.0
106346,2022-08-20,144.0
106347,2022-08-21,47.0
106348,2022-08-22,122.0
106349,2022-08-23,203.0
106350,2022-08-24,202.0
106351,2022-08-25,157.0
106352,2022-08-26,164.0
106353,2022-08-27,75.0
106354,2022-08-28,22.0
106355,2022-08-29,128.0
106356,2022-08-30,229.0
106357,2022-08-31,114.0
106358,2022-09-01,182.0
106359,2022-09-02,115.0
106360,2022-09-03,92.0
106361,2022-09-04,15.0
106362,2022-09-05,56.0
106363,2022-09-06,155.0
106364,2022-09-07,57.0
106365,2022-09-08,85.0
106366,2022-09-09,91.0
106367,2022-09-10,40.0
106368,2022-09-11,7.0
106369,2022-09-12,38.0
106370,2022-09-13,104.0
106371,2022-09-14,119.0
106372,2022-09-15,82.0
106373,2022-09-16,97.0
106374,2022-09-17,34.0
106375,2022-09-18,42.0
106376,2022-09-19,52.0
106377,2022-09-20,90.0
106378,2022-09-21,86.0
106379,2022-09-22,73.0
106380,2022-09-23,73.0
106381,2022-09-24,32.0
106382,2022-09-25,23.0
106383,2022-09-26,30.0
106384,2022-09-27,46.0
106385,2022-09-28,46.0
106386,2022-09-29,51.0
106387,2022-09-30,58.0
106388,2022-10-01,218.0
106389,2022-10-02,66.0
106390,2022-10-03,51.0
106391,2022-10-04,93.0
106392,2022-10-05,109.0
106393,2022-10-06,133.0
106394,2022-10-07,97.0
106395,2022-10-08,39.0
106396,2022-10-09,9.0
106397,2022-10-10,26.0
106398,2022-10-11,86.0
106399,2022-10-12,63.0
106400,2022-10-13,43.0
106401,2022-10-14,75.0
106402,2022-10-15,9.0
106403,2022-10-16,2.0
106404,2022-10-17,88.0
106405,2022-10-18,83.0
106406,2022-10-19,97.0
106407,2022-10-20,60.0
106408,2022-10-21,44.0
106409,2022-10-22,39.0
106410,2022-10-23,8.0
106411,2022-10-24,92.0
106412,2022-10-25,44.0
106413,2022-10-26,197.0
106414,2022-10-27,55.0
106415,2022-10-28,118.0
106416,2022-10-29,11.0
